,matrix,accuracy,precision,recall,f1,roc_auc
0,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
1,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
2,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
3,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
4,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
5,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
6,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
7,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
8,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
9,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
10,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
11,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
12,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
13,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
14,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
15,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
16,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
17,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
18,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
19,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
20,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
21,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
22,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
23,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
24,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
25,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
26,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
27,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
28,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
29,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
30,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
31,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
32,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
33,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
34,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
35,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
36,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
37,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
38,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
39,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
40,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
41,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
42,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
43,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
44,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
45,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
46,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
47,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
48,"[[651   0]
 [  1 617]]",0.9992119779353822,1.0,0.9983818770226537,0.9991902834008096,0.9991909385113269
49,"[[650   1]
 [  0 618]]",0.9992119779353822,0.9983844911147012,1.0,0.9991915925626517,0.999231950844854
